station,phase,time
das2300,S,1715047231.6720011
das700,S,1715047300.212
das100,S,1715047621.5619981
das900,S,1715047770.351999
das2100,S,1715047769.351999
das1500,S,1715048183.232
das1100,S,1715048377.632002
das1900,S,1715048532.882
das1300,S,1715048726.072
das2700,S,1715048730.4120011
das1700,S,1715048950.292
das2900,S,1715048958.872
das1900,S,1715049009.822
das1900,S,1715049083.492001
das2300,S,1715049157.9419992
das2900,S,1715049160.162001
das1100,S,1715049208.2220001
das2100,S,1715050108.4620001
das1900,S,1715050339.172
das2900,S,1715050376.452002
das500,S,1715050510.532
das900,S,1715050660.671999
das1900,S,1715050765.072
das300,S,1715050952.592001
das2500,S,1715050948.342001
das2100,S,1715051015.252001
das2300,S,1715051072.202
das2700,S,1715051158.962
das1700,S,1715051239.172
das2500,S,1715051238.442
das2300,S,1715051338.632002
das1900,S,1715051358.442
das1100,S,1715051458.452002
das2700,S,1715051471.072
das2900,S,1715051493.691999
das1900,S,1715051660.162
das2100,S,1715051659.792
das2500,S,1715051736.3219998
das2500,S,1715052165.372
das700,S,1715052198.432
das2100,S,1715052316.432
das2500,S,1715052313.292
das900,S,1715052567.952
das1500,S,1715052567.832001
das1300,S,1715052641.552
das2500,S,1715052678.0419998
das500,S,1715052824.1820009
das900,S,1715052868.252001
das1700,S,1715052935.472
das700,S,1715053034.112
das1900,S,1715053041.0019999
das700,S,1715053309.3219998
das1100,S,1715053347.232
das1300,S,1715053334.452
das700,S,1715053697.542
das700,S,1715053770.132
das1300,S,1715053758.532
das2100,S,1715053757.112
das900,S,1715054007.052
das1300,S,1715054006.7020001
das1900,S,1715054024.052
das300,S,1715054059.812
das500,S,1715054059.992
das1100,S,1715054081.732
das2100,S,1715054066.572
das900,S,1715054118.232
das1900,S,1715054118.132
das900,S,1715054566.601999
das2100,S,1715054609.972
das1500,S,1715054782.0419998
das700,S,1715055025.822
das1900,S,1715055093.4620001
das2300,S,1715055142.351999
das1900,S,1715055210.292
das2500,S,1715055209.752001
das500,S,1715055252.2220001
das1900,S,1715055359.772001
das2500,S,1715055340.362001
das700,S,1715055437.052
